"","SampleDate","PlotID","FishTreatment","BirdTreatment","treatment","ElapsedDays","ElapsedDays2","Pre_Post","SamplingOccasion","MeanTemp","MeanDO","MeanDepth","total","PrePost_Vers2","DensityRounded","ElapsedDaysScaled","ElapsedDaysScaled2","MeanTempScaled","MeanDOScaled","MeanDepthScaled","PlotNumber"
"1","2023-11-20","1C","Fish","Birds","Birds Fish",1,1,"Pre","2023-11-20",10.5951388888889,9.17625,25.9999999938,692.9700401,"Pre",693,-1.85093174442706,3.42594832252779,0.104920738104068,0.0698023683528945,-1.08414964075682,1
"2","2023-11-20","2E","NoFish","NoBirds","NoBirds NoFish",1,1,"Pre","2023-11-20",10.4226851851852,9.72708333333333,22.9999999994,968.1921837,"Pre",968,-1.85093174442706,3.42594832252779,0.0183752629930113,0.533773641348834,-1.89380464176389,2
"3","2023-11-20","3C","NoFish","Birds","Birds NoFish",1,1,"Pre","2023-11-20",10.6032407407407,7.81291666666667,24.9999999999,260.478100185,"Pre",260,-1.85093174442706,3.42594832252779,0.108986632907917,-1.07854408039349,-1.35403463994999,3
"4","2023-11-20","4E","Fish","NoBirds","NoBirds Fish",1,1,"Pre","2023-11-20",10.3763888888889,9.875,27.0000000004,845.325155276,"Pre",845,-1.85093174442706,3.42594832252779,-0.00485842160056279,0.658365019498277,-0.814264638136105,4
"5","2023-11-20","5C","NoFish","Birds","Birds NoFish",1,1,"Pre","2023-11-20",10.512037037037,9.02041666666667,25.9999999938,830.581111821,"Pre",831,-1.85093174442706,3.42594832252779,0.0632162742585805,-0.0614572807397522,-1.08414964075682,5
"6","2023-11-20","6C","Fish","Birds","Birds Fish",1,1,"Pre","2023-11-20",10.4703703703704,9.67125,25.9999999938,1523.551152032,"Pre",1524,-1.85093174442706,3.42594832252779,0.0423059581243985,0.486744783117782,-1.08414964075682,6
"7","2023-11-20","6E","Fish","NoBirds","NoBirds Fish",1,1,"Pre","2023-11-20",10.53125,9.11916666666667,27.0000000004,707.714083549,"Pre",708,-1.85093174442706,3.42594832252779,0.0728582533649315,0.0217206252360718,-0.814264638136105,6
"8","2023-11-20","7C","Fish","Birds","Birds Fish",1,1,"Pre","2023-11-20",10.5726851851852,9.09625,25.9999999938,997.680270567,"Pre",998,-1.85093174442706,3.42594832252779,0.0936524010761866,0.00241773566361993,-1.08414964075682,7
"9","2023-11-20","7E","Fish","NoBirds","NoBirds Fish",1,1,"Pre","2023-11-20",10.3835648148148,9.6,29.9999999948,619.249823058,"Pre",619,-1.85093174442706,3.42594832252779,-0.00125720048857222,0.426730344628896,-0.00460963712903855,7
"10","2023-11-20","8C","NoFish","Birds","Birds NoFish",1,1,"Pre","2023-11-20",10.1164351851852,8.87333333333333,22.00000000042,496.38279468,"Pre",496,-1.85093174442706,3.42594832252779,-0.135315560593471,-0.185346735632018,-2.16368964232808,8
