"","Date","PlotID","CH4Flux","FishTreatment","BirdTreatment","treatment","StudyYear","SamplingOccasion","logFlux","MeanDepth","PO4","Date.y","GravH2O","NH4","NO3","Redox","SoilTemp","Daphnia","ElapsedDays","ElapsedDays2","Pre_Post","MeanTemp","MeanDO"
"1",2023-12-08,"1C",394.89113,"Fish","Birds","Birds Fish","Year1","2023-12-08",5.97861010665771,25.9999999938,NA,NA,NA,NA,NA,NA,NA,579.932374,1,1,"Pre",9.19953703703704,8.03958333333333
"2",2023-12-08,"1E",10.15673,"Fish","NoBirds","NoBirds Fish","Year1","2023-12-08",2.31813653995168,22.9999999994,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Pre",9.20740740740741,8.41916666666667
"3",2023-12-08,"2C",13.27277,"NoFish","Birds","Birds NoFish","Year1","2023-12-08",2.58571456808287,24.00000000092,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Pre",9.31990740740741,9.2625
"4",2023-12-08,"2E",25.354955,"NoFish","NoBirds","NoBirds NoFish","Year1","2023-12-08",3.23297417444754,22.9999999994,NA,NA,NA,NA,NA,NA,NA,869.898561,1,1,"Pre",9.13726851851852,8.86625
"5",2023-12-08,"3C",122.202075,"NoFish","Birds","Birds NoFish","Year1","2023-12-08",4.8056760269534,24.9999999999,NA,NA,NA,NA,NA,NA,NA,176.9285209,1,1,"Pre",9.22986111111111,8.80583333333333
"6",2023-12-08,"3E",11.12694,"NoFish","NoBirds","NoBirds NoFish","Year1","2023-12-08",2.409369194872,24.00000000092,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Pre",9.20717592592593,8.87208333333333
"7",2023-12-08,"4E",17.50899,"Fish","NoBirds","NoBirds Fish","Year1","2023-12-08",2.86271446330917,27.0000000004,NA,NA,NA,NA,NA,NA,NA,594.6764174,1,1,"Pre",9.15833333333333,9.10416666666667
"8",2023-12-08,"5C",53.769525,"NoFish","Birds","Birds NoFish","Year1","2023-12-08",3.98470685686031,25.9999999938,NA,NA,NA,NA,NA,NA,NA,525.8708815,1,1,"Pre",9.26134259259259,8.87291666666667
"9",2023-12-08,"5E",97.77294,"NoFish","NoBirds","NoBirds NoFish","Year1","2023-12-08",4.58264785163926,24.9999999999,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Pre",9.21828703703704,8.77958333333333
"10",2023-12-08,"6C",75.00513,"Fish","Birds","Birds Fish","Year1","2023-12-08",4.31755651119714,25.9999999938,NA,NA,NA,NA,NA,NA,NA,891.6635774,1,1,"Pre",9.38078703703704,9.09583333333333
"11",2023-12-08,"6E",22.657815,"Fish","NoBirds","NoBirds Fish","Year1","2023-12-08",3.12050482553139,27.0000000004,NA,NA,NA,NA,NA,NA,NA,599.5910986,1,1,"Pre",9.17430555555556,9.24791666666667
"12",2023-12-08,"7C",41.7336,"Fish","Birds","Birds Fish","Year1","2023-12-08",3.73130655975383,25.9999999938,NA,NA,NA,NA,NA,NA,NA,575.0176929,1,1,"Pre",9.25787037037037,8.63208333333333
"13",2023-12-08,"7E",331.103635,"Fish","NoBirds","NoBirds Fish","Year1","2023-12-08",5.80243142304926,29.9999999948,NA,NA,NA,NA,NA,NA,NA,471.809389,1,1,"Pre",9.27268518518519,9.33541666666667
"14",2023-12-08,"8C",351.07401,"NoFish","Birds","Birds NoFish","Year1","2023-12-08",5.86099705593999,22.00000000042,NA,NA,NA,NA,NA,NA,NA,407.9185342,1,1,"Pre",8.86273148148148,8.20166666666667
"15",2023-12-08,"8E",361.928385,"NoFish","NoBirds","NoBirds NoFish","Year1","2023-12-08",5.89144636076283,24.9999999999,NA,NA,NA,NA,NA,NA,NA,545.529606,1,1,"Pre",8.76481481481481,7.94041666666667
"16",2023-12-19,"1C",2.18181,"Fish","Birds","Birds Fish","Year1","2023-12-19",0.780154807542544,25.9999999938,5.45,"12/19/2023",0.298,4.11,1.09,NA,NA,1277.817096,12,144,"Post",13.3731481481481,9.03166666666667
"17",2023-12-19,"1E",5.185005,"Fish","NoBirds","NoBirds Fish","Year1","2023-12-19",1.64577080600118,22.9999999994,11.83,"12/19/2023",0.376,10.53,0,NA,NA,2187.033106,12,144,"Post",13.2423611111111,8.78625
"18",2023-12-19,"2C",68.22593,"NoFish","Birds","Birds NoFish","Year1","2023-12-19",4.2228246978683,24.00000000092,6.82,"12/19/2023",0.325,2.48,0.41,NA,NA,322.9647603,12,144,"Post",13.28125,9.36916666666667
"19",2023-12-19,"2E",8.829015,"NoFish","NoBirds","NoBirds NoFish","Year1","2023-12-19",2.17804345686466,22.9999999994,9.81,"12/19/2023",0.372,9.51,0.26,NA,NA,103.2083038,12,144,"Post",13.3233796296296,9.45791666666667
"20",2023-12-19,"3C",219.97063,"NoFish","Birds","Birds NoFish","Year1","2023-12-19",5.39349403744044,24.9999999999,10.54,"12/19/2023",0.368,5.4,0,NA,NA,373.5157662,12,144,"Post",13.2953703703704,9.47041666666667
"21",2023-12-19,"3E",21.53927,"NoFish","NoBirds","NoBirds NoFish","Year1","2023-12-19",3.06987778071755,24.00000000092,7.89,"12/19/2023",0.308,2.57,0.15,NA,NA,1437.544232,12,144,"Post",13.2914351851852,9.25625
"22",2023-12-19,"4C",34.246585,"Fish","Birds","Birds Fish","Year1","2023-12-19",3.53358685170786,22.9999999994,2.88,"12/19/2023",0.403,4.63,0.32,NA,NA,2604.781002,12,144,"Post",13.1981481481481,9.36583333333333
"23",2023-12-19,"4E",10.617595,"Fish","NoBirds","NoBirds Fish","Year1","2023-12-19",2.36251253065761,27.0000000004,12.26,"12/19/2023",0.364,18.68,0,NA,NA,393.1744908,12,144,"Post",13.1983796296296,9.71333333333333
"24",2023-12-19,"5C",53.665165,"NoFish","Birds","Birds NoFish","Year1","2023-12-19",3.98276409455841,25.9999999938,8.19,"12/19/2023",0.319,9.07,0.36,NA,NA,172.0138397,12,144,"Post",13.3083333333333,8.86291666666667
"25",2023-12-19,"5E",14.299595,"NoFish","NoBirds","NoBirds NoFish","Year1","2023-12-19",2.66023121518647,24.9999999999,6.85,"12/19/2023",0.467,4.37,1.84,NA,NA,845.3251553,12,144,"Post",13.2546296296296,8.7425
"26",2023-12-19,"6C",11.23594,"Fish","Birds","Birds Fish","Year1","2023-12-19",2.4191175692491,25.9999999938,16.07,"12/19/2023",0.478,11.19,0,NA,NA,1051.741763,12,144,"Post",13.3229166666667,9.58833333333333
"27",2023-12-19,"6E",9.11434,"Fish","NoBirds","NoBirds Fish","Year1","2023-12-19",2.20984899739055,27.0000000004,11.41,"12/19/2023",0.447,13.84,0,NA,NA,226.0753322,12,144,"Post",13.3060185185185,9.43583333333333
"28",2023-12-19,"7C",11.82516,"Fish","Birds","Birds Fish","Year1","2023-12-19",2.47022946494185,25.9999999938,7.94,"12/19/2023",0.387,4.05,0.02,NA,NA,688.0553589,12,144,"Post",13.3041666666667,9.0275
"29",2023-12-19,"7E",9.39911,"Fish","NoBirds","NoBirds Fish","Year1","2023-12-19",2.24061500394238,29.9999999948,14.4,"12/19/2023",0.387,1.7,0.36,NA,NA,211.3312889,12,144,"Post",13.2439814814815,9.16166666666667
"30",2023-12-19,"8C",1310.693515,"NoFish","Birds","Birds NoFish","Year1","2023-12-19",7.17831167687541,22.00000000042,16.42,"12/19/2023",0.309,0.97,0,NA,NA,1270.172036,12,144,"Post",13.2449074074074,8.12583333333333
"31",2023-12-19,"8E",38.563395,"NoFish","NoBirds","NoBirds NoFish","Year1","2023-12-19",3.65230351047246,24.9999999999,15.92,"12/19/2023",0.308,2.24,0.48,NA,NA,NA,12,144,"Post",13.1296296296296,8.16583333333333
"32",2024-01-04,"1C",77.61891,"Fish","Birds","Birds Fish","Year1","2024-01-04",4.35181108306968,27.178,12.11,"1/4/2024",0.321,0.12,0.35,NA,NA,908.4713614,28,784,"Post",10.3585648148148,9.72125
